csv директория C:\Users\obikb\PycharmProjects\sem8 337
json директория C:\Users\obikb\PycharmProjects\sem8 1586
pickle директория C:\Users\obikb\PycharmProjects\sem8 2291
Py директория C:\Users\obikb\PycharmProjects\sem8 8588
dirtree.csv файл C:\Users\obikb\PycharmProjects\sem8 0
dirtree.json файл C:\Users\obikb\PycharmProjects\sem8 2747
hw8_1.py файл C:\Users\obikb\PycharmProjects\sem8 2668
json_f файл C:\Users\obikb\PycharmProjects\sem8 493
task6.csv файл C:\Users\obikb\PycharmProjects\sem8\csv 251
user_data.csv файл C:\Users\obikb\PycharmProjects\sem8\csv 86
json_f.json файл C:\Users\obikb\PycharmProjects\sem8\json 676
new_user_data.json файл C:\Users\obikb\PycharmProjects\sem8\json 568
user_data.json файл C:\Users\obikb\PycharmProjects\sem8\json 342
json_f.picle файл C:\Users\obikb\PycharmProjects\sem8\pickle 509
new_user_data.picle файл C:\Users\obikb\PycharmProjects\sem8\pickle 334
task_6.pickle файл C:\Users\obikb\PycharmProjects\sem8\pickle 333
user_data.picle файл C:\Users\obikb\PycharmProjects\sem8\pickle 136
['j'].picle файл C:\Users\obikb\PycharmProjects\sem8\pickle 509
['n'].picle файл C:\Users\obikb\PycharmProjects\sem8\pickle 334
['u'].picle файл C:\Users\obikb\PycharmProjects\sem8\pickle 136
homework директория C:\Users\obikb\PycharmProjects\sem8\Py 671
task8_1.py файл C:\Users\obikb\PycharmProjects\sem8\Py 787
task8_2.py файл C:\Users\obikb\PycharmProjects\sem8\Py 2117
task8_3.py файл C:\Users\obikb\PycharmProjects\sem8\Py 1646
task8_4.py файл C:\Users\obikb\PycharmProjects\sem8\Py 1662
task8_5.py файл C:\Users\obikb\PycharmProjects\sem8\Py 654
task8_6.py файл C:\Users\obikb\PycharmProjects\sem8\Py 1051
test.py файл C:\Users\obikb\PycharmProjects\sem8\Py\homework 671
